round,player_move,ai_move,winner
1,3.0,3,Draw
2,2.0,1,Player
3,3.0,3,Draw
4,3.0,1,AI
5,3.0,2,Player
6,3.0,3,Draw
7,3.0,2,Player
8,1.0,3,Player
9,2.0,2,Draw
10,2.0,1,Player
11,1.0,3,Player
12,1.0,3,Player
13,1.0,1,Draw
14,2.0,1,Player
15,2.0,3,AI
16,1.0,1,Draw
17,3.0,3,Draw
18,3.0,3,Draw
19,2.0,1,Player
20,1.0,2,AI
21,3.0,3,Draw
22,1.0,3,Player
23,,1,AI
24,1.0,3,Player
25,1.0,3,Player
26,2.0,3,AI
27,1.0,1,Draw
28,2.0,1,Player
29,2.0,3,AI
30,2.0,2,Draw
31,2.0,3,AI
32,1.0,3,Player
33,1.0,3,Player
34,3.0,1,AI
35,2.0,1,Player
36,3.0,1,AI
37,1.0,1,Draw
38,2.0,3,AI
39,2.0,1,Player
40,3.0,3,Draw
41,1.0,2,AI
42,3.0,3,Draw
43,1.0,3,Player
44,1.0,3,Player
45,1.0,1,Draw
46,3.0,2,Player
47,3.0,2,Player
48,3.0,2,Player
49,2.0,1,Player
50,1.0,2,AI
51,1.0,3,Player
52,3.0,1,AI
53,2.0,3,AI
54,1.0,1,Draw
55,1.0,3,Player
56,2.0,1,Player
57,2.0,1,Player
58,2.0,2,Draw
59,1.0,3,Player
60,1.0,1,Draw
61,1.0,3,Player
62,3.0,1,AI
63,2.0,2,Draw
64,2.0,2,Draw
65,2.0,1,Player
66,1.0,3,Player
67,3.0,3,Draw
68,1.0,3,Player
69,1.0,1,Draw
70,2.0,1,Player
71,1.0,3,Player
72,3.0,3,Draw
73,1.0,3,Player
74,2.0,2,Draw
75,3.0,2,Player
76,1.0,2,AI
77,1.0,1,Draw
78,2.0,1,Player
79,2.0,1,Player
80,2.0,1,Player
81,3.0,3,Draw
82,3.0,1,AI
83,1.0,2,AI
84,1.0,1,Draw
85,2.0,1,Player
86,1.0,3,Player
87,2.0,1,Player
88,1.0,3,Player
89,3.0,1,AI
90,3.0,1,AI
91,2.0,1,Player
92,3.0,1,AI
93,2.0,1,Player
94,1.0,1,Draw
95,2.0,1,Player
96,1.0,1,Draw
97,3.0,1,AI
98,3.0,3,Draw
99,1.0,3,Player
100,3.0,3,Draw
101,2.0,1,Player
102,1.0,2,AI
103,2.0,1,Player
104,2.0,2,Draw
105,2.0,3,AI
106,3.0,2,Player
107,2.0,3,AI
108,1.0,3,Player
109,1.0,2,AI
110,2.0,1,Player
111,2.0,2,Draw
112,2.0,2,Draw
113,2.0,3,AI
114,1.0,3,Player
115,1.0,1,Draw
116,1.0,1,Draw
117,3.0,3,Draw
118,1.0,1,Draw
119,1.0,1,Draw
120,1.0,1,Draw
121,1.0,1,Draw
122,3.0,3,Draw
123,1.0,1,Draw
124,2.0,3,AI
125,1.0,3,Player
126,1.0,1,Draw
127,2.0,3,AI
128,2.0,1,Player
129,1.0,1,Draw
130,2.0,2,Draw
131,2.0,1,Player
132,2.0,2,Draw
133,3.0,3,Draw
134,2.0,1,Player
135,3.0,2,Player
136,3.0,1,AI
137,2.0,2,Draw
138,1.0,3,Player
139,1.0,3,Player
140,1.0,1,Draw
141,1.0,1,Draw
142,1.0,3,Player
143,1.0,3,Player
144,1.0,1,Draw
145,2.0,3,AI
146,3.0,2,Player
147,3.0,1,AI
148,2.0,1,Player
149,2.0,2,Draw
150,3.0,3,Draw
151,2.0,3,AI
152,2.0,3,AI
153,3.0,1,AI
154,2.0,1,Player
155,2.0,1,Player
156,2.0,2,Draw
157,2.0,1,Player
158,3.0,3,Draw
159,1.0,3,Player
160,3.0,3,Draw
161,2.0,3,AI
162,1.0,1,Draw
163,2.0,1,Player
164,2.0,3,AI
165,1.0,3,Player
166,2.0,3,AI
167,,1,AI
168,2.0,3,AI
169,2.0,2,Draw
170,3.0,3,Draw
171,2.0,3,AI
172,2.0,1,Player
173,2.0,3,AI
174,2.0,1,Player
175,3.0,1,AI
176,3.0,1,AI
177,2.0,1,Player
178,3.0,2,Player
179,1.0,1,Draw
180,2.0,1,Player
181,2.0,3,AI
182,3.0,1,AI
183,1.0,3,Player
184,2.0,3,AI
185,3.0,1,AI
186,2.0,3,AI
187,2.0,1,Player
188,3.0,2,Player
189,2.0,3,AI
190,3.0,3,Draw
191,2.0,3,AI
192,,3,AI
193,2.0,1,Player
194,2.0,1,Player
195,1.0,1,Draw
196,2.0,1,Player
197,1.0,1,Draw
198,3.0,2,Player
199,3.0,2,Player
200,3.0,1,AI
201,3.0,2,Player
202,2.0,3,AI
203,1.0,3,Player
204,2.0,1,Player
205,2.0,2,Draw
206,2.0,3,AI
207,1.0,1,Draw
208,1.0,1,Draw
209,2.0,3,AI
210,1.0,3,Player
211,1.0,1,Draw
212,3.0,3,Draw
213,2.0,2,Draw
214,1.0,1,Draw
215,1.0,1,Draw
216,3.0,3,Draw
217,2.0,1,Player
218,3.0,1,AI
219,2.0,3,AI
220,1.0,2,AI
221,3.0,1,AI
222,1.0,3,Player
223,2.0,3,AI
224,1.0,1,Draw
225,1.0,1,Draw
226,3.0,1,AI
227,2.0,3,AI
228,3.0,3,Draw
229,2.0,1,Player
230,1.0,1,Draw
231,1.0,1,Draw
232,2.0,1,Player
233,1.0,3,Player
234,2.0,2,Draw
235,3.0,3,Draw
236,2.0,2,Draw
237,1.0,3,Player
238,2.0,3,AI
239,2.0,3,AI
240,1.0,3,Player
241,1.0,2,AI
242,3.0,3,Draw
243,2.0,1,Player
244,3.0,2,Player
245,2.0,1,Player
246,2.0,3,AI
247,2.0,3,AI
248,1.0,3,Player
249,2.0,2,Draw
250,,3,AI
251,2.0,3,AI
252,2.0,1,Player
253,1.0,3,Player
254,1.0,1,Draw
255,1.0,3,Player
256,3.0,1,AI
257,2.0,2,Draw
258,3.0,3,Draw
259,3.0,3,Draw
260,,1,AI
261,2.0,1,Player
262,1.0,2,AI
263,3.0,2,Player
264,3.0,1,AI
265,,2,AI
266,3.0,1,AI
267,2.0,3,AI
268,3.0,3,Draw
269,1.0,1,Draw
270,2.0,3,AI
271,3.0,3,Draw
272,1.0,1,Draw
273,1.0,3,Player
274,2.0,1,Player
275,2.0,1,Player
276,1.0,2,AI
277,3.0,3,Draw
278,3.0,3,Draw
279,3.0,2,Player
280,2.0,1,Player
281,1.0,3,Player
282,1.0,1,Draw
283,1.0,1,Draw
284,2.0,1,Player
285,1.0,3,Player
286,3.0,2,Player
287,1.0,3,Player
288,2.0,2,Draw
289,2.0,2,Draw
290,2.0,1,Player
291,1.0,1,Draw
292,2.0,1,Player
293,2.0,3,AI
294,3.0,2,Player
295,2.0,1,Player
296,1.0,3,Player
297,3.0,3,Draw
298,1.0,1,Draw
299,1.0,3,Player
300,2.0,3,AI
301,2.0,1,Player
302,1.0,3,Player
303,2.0,2,Draw
304,3.0,3,Draw
305,3.0,1,AI
306,1.0,1,Draw
307,2.0,1,Player
308,2.0,1,Player
309,2.0,2,Draw
310,3.0,1,AI
311,2.0,1,Player
312,1.0,3,Player
313,3.0,3,Draw
314,3.0,1,AI
315,2.0,3,AI
316,3.0,2,Player
317,2.0,1,Player
318,3.0,3,Draw
319,2.0,2,Draw
320,3.0,1,AI
321,2.0,1,Player
322,1.0,1,Draw
323,2.0,3,AI
324,1.0,1,Draw
325,2.0,1,Player
326,3.0,1,AI
327,2.0,2,Draw
328,1.0,1,Draw
329,1.0,2,AI
330,1.0,2,AI
331,2.0,3,AI
332,2.0,1,Player
333,3.0,3,Draw
334,2.0,1,Player
335,1.0,1,Draw
336,1.0,2,AI
337,3.0,2,Player
338,2.0,3,AI
339,1.0,1,Draw
340,2.0,1,Player
341,3.0,3,Draw
342,2.0,3,AI
343,2.0,1,Player
344,3.0,1,AI
345,2.0,3,AI
346,2.0,3,AI
347,3.0,1,AI
348,,3,AI
349,2.0,2,Draw
350,3.0,3,Draw
351,3.0,3,Draw
352,3.0,1,AI
353,3.0,2,Player
354,2.0,1,Player
355,2.0,2,Draw
356,1.0,1,Draw
357,2.0,1,Player
358,2.0,1,Player
359,3.0,1,AI
360,2.0,1,Player
361,3.0,2,Player
362,2.0,2,Draw
363,2.0,1,Player
364,1.0,1,Draw
365,3.0,2,Player
366,2.0,2,Draw
367,2.0,2,Draw
368,1.0,2,AI
369,3.0,3,Draw
370,3.0,2,Player
371,3.0,3,Draw
372,2.0,1,Player
373,3.0,1,AI
374,2.0,1,Player
375,1.0,3,Player
376,2.0,1,Player
377,3.0,3,Draw
378,2.0,3,AI
379,1.0,2,AI
380,2.0,3,AI
381,2.0,2,Draw
382,2.0,2,Draw
383,1.0,3,Player
384,3.0,3,Draw
385,3.0,3,Draw
386,2.0,2,Draw
387,2.0,2,Draw
388,2.0,3,AI
389,,1,AI
390,1.0,1,Draw
391,1.0,2,AI
392,3.0,1,AI
393,1.0,1,Draw
394,2.0,3,AI
395,2.0,3,AI
396,2.0,1,Player
397,1.0,1,Draw
398,1.0,1,Draw
399,1.0,1,Draw
400,3.0,3,Draw
401,2.0,3,AI
402,2.0,1,Player
403,3.0,1,AI
404,3.0,3,Draw
405,1.0,1,Draw
406,1.0,1,Draw
407,2.0,3,AI
408,1.0,1,Draw
409,2.0,2,Draw
410,3.0,1,AI
411,2.0,1,Player
412,1.0,1,Draw
413,2.0,3,AI
414,3.0,3,Draw
415,3.0,3,Draw
416,1.0,2,AI
417,2.0,1,Player
418,1.0,1,Draw
419,1.0,2,AI
420,1.0,2,AI
421,2.0,1,Player
422,2.0,3,AI
423,1.0,3,Player
424,2.0,2,Draw
425,1.0,1,Draw
426,2.0,1,Player
427,1.0,3,Player
428,3.0,1,AI
429,2.0,1,Player
430,3.0,1,AI
431,1.0,3,Player
432,3.0,3,Draw
433,2.0,1,Player
434,2.0,3,AI
435,2.0,3,AI
436,2.0,1,Player
437,2.0,3,AI
438,2.0,1,Player
439,3.0,1,AI
440,2.0,2,Draw
441,3.0,1,AI
442,2.0,3,AI
443,1.0,1,Draw
444,3.0,1,AI
445,2.0,2,Draw
446,2.0,1,Player
447,2.0,3,AI
448,3.0,1,AI
449,3.0,1,AI
450,2.0,1,Player
451,2.0,1,Player
452,3.0,2,Player
453,2.0,1,Player
454,1.0,3,Player
455,3.0,3,Draw
456,3.0,1,AI
457,2.0,1,Player
458,2.0,3,AI
459,2.0,1,Player
460,3.0,3,Draw
461,2.0,3,AI
462,3.0,1,AI
463,3.0,2,Player
464,2.0,3,AI
465,2.0,1,Player
466,3.0,3,Draw
467,2.0,3,AI
468,2.0,3,AI
469,2.0,1,Player
470,2.0,3,AI
471,1.0,3,Player
472,3.0,3,Draw
473,3.0,3,Draw
474,1.0,3,Player
475,2.0,1,Player
476,1.0,1,Draw
477,2.0,3,AI
478,3.0,3,Draw
479,2.0,2,Draw
480,2.0,3,AI
481,1.0,3,Player
482,3.0,1,AI
483,2.0,3,AI
484,1.0,1,Draw
485,2.0,1,Player
486,3.0,1,AI
487,3.0,1,AI
488,3.0,1,AI
489,3.0,1,AI
490,2.0,1,Player
491,2.0,1,Player
492,2.0,3,AI
493,2.0,3,AI
494,2.0,2,Draw
495,2.0,2,Draw
496,2.0,1,Player
497,2.0,3,AI
498,3.0,2,Player
499,3.0,3,Draw
500,3.0,3,Draw
501,1.0,1,Draw
502,3.0,3,Draw
503,2.0,3,AI
504,2.0,1,Player
505,2.0,1,Player
506,1.0,3,Player
507,2.0,2,Draw
508,1.0,1,Draw
509,1.0,2,AI
510,1.0,1,Draw
511,2.0,2,Draw
512,2.0,1,Player
513,3.0,3,Draw
514,2.0,1,Player
515,2.0,3,AI
516,2.0,3,AI
517,1.0,3,Player
518,3.0,3,Draw
519,3.0,1,AI
520,1.0,1,Draw
521,2.0,3,AI
522,2.0,1,Player
523,2.0,1,Player
524,3.0,2,Player
525,1.0,2,AI
526,2.0,3,AI
527,2.0,1,Player
528,,3,AI
529,3.0,3,Draw
530,3.0,3,Draw
531,1.0,3,Player
532,1.0,2,AI
533,2.0,1,Player
534,2.0,1,Player
535,3.0,3,Draw
536,2.0,2,Draw
537,3.0,2,Player
538,2.0,3,AI
539,3.0,1,AI
540,2.0,3,AI
541,2.0,3,AI
542,1.0,3,Player
543,2.0,3,AI
544,1.0,3,Player
545,2.0,2,Draw
546,1.0,2,AI
547,1.0,3,Player
548,3.0,1,AI
549,3.0,3,Draw
550,3.0,3,Draw
551,2.0,2,Draw
552,3.0,3,Draw
553,1.0,2,AI
554,2.0,2,Draw
555,3.0,2,Player
556,1.0,1,Draw
557,1.0,1,Draw
558,1.0,1,Draw
559,2.0,1,Player
560,2.0,1,Player
561,1.0,2,AI
562,2.0,1,Player
563,3.0,3,Draw
564,3.0,3,Draw
565,3.0,1,AI
566,2.0,3,AI
567,,3,AI
568,3.0,3,Draw
569,1.0,3,Player
570,3.0,1,AI
571,3.0,2,Player
572,3.0,1,AI
573,2.0,1,Player
574,1.0,1,Draw
575,2.0,3,AI
576,1.0,3,Player
577,3.0,1,AI
578,1.0,2,AI
579,2.0,3,AI
580,2.0,1,Player
581,2.0,1,Player
582,2.0,3,AI
583,2.0,3,AI
584,2.0,1,Player
585,1.0,3,Player
586,1.0,2,AI
587,2.0,1,Player
588,1.0,3,Player
589,1.0,1,Draw
590,2.0,3,AI
591,1.0,3,Player
592,3.0,1,AI
593,3.0,1,AI
594,2.0,3,AI
595,2.0,2,Draw
596,3.0,3,Draw
597,2.0,3,AI
598,2.0,1,Player
599,3.0,3,Draw
600,3.0,3,Draw
601,2.0,1,Player
602,2.0,2,Draw
603,3.0,2,Player
604,1.0,3,Player
605,3.0,1,AI
606,2.0,3,AI
607,2.0,2,Draw
608,2.0,3,AI
609,1.0,1,Draw
610,1.0,3,Player
611,2.0,3,AI
612,,3,AI
613,2.0,1,Player
614,3.0,3,Draw
615,,1,AI
616,2.0,3,AI
617,3.0,1,AI
618,2.0,1,Player
619,2.0,1,Player
620,2.0,1,Player
621,3.0,1,AI
622,1.0,1,Draw
623,2.0,3,AI
624,1.0,3,Player
625,2.0,3,AI
626,1.0,2,AI
627,1.0,1,Draw
628,3.0,3,Draw
629,2.0,2,Draw
630,1.0,3,Player
631,2.0,3,AI
632,2.0,2,Draw
633,2.0,2,Draw
634,2.0,3,AI
635,2.0,1,Player
636,2.0,3,AI
637,2.0,1,Player
638,1.0,1,Draw
639,2.0,1,Player
640,3.0,1,AI
641,2.0,3,AI
642,2.0,3,AI
643,3.0,3,Draw
644,2.0,3,AI
645,3.0,3,Draw
646,1.0,1,Draw
647,2.0,1,Player
648,3.0,3,Draw
649,1.0,3,Player
650,1.0,1,Draw
651,3.0,1,AI
652,2.0,1,Player
653,2.0,2,Draw
654,,1,AI
655,3.0,3,Draw
656,1.0,1,Draw
657,3.0,2,Player
658,3.0,1,AI
659,3.0,1,AI
660,1.0,3,Player
661,2.0,1,Player
662,3.0,3,Draw
663,2.0,3,AI
664,2.0,3,AI
665,2.0,2,Draw
666,2.0,3,AI
667,3.0,3,Draw
668,3.0,2,Player
669,3.0,1,AI
670,3.0,1,AI
671,3.0,3,Draw
672,3.0,2,Player
673,2.0,1,Player
674,3.0,1,AI
675,3.0,3,Draw
676,2.0,1,Player
677,3.0,1,AI
678,1.0,3,Player
679,3.0,1,AI
680,,1,AI
681,3.0,3,Draw
682,3.0,1,AI
683,1.0,1,Draw
684,3.0,3,Draw
685,3.0,3,Draw
686,1.0,3,Player
687,2.0,1,Player
688,3.0,1,AI
689,1.0,3,Player
690,2.0,3,AI
691,3.0,3,Draw
692,3.0,3,Draw
693,2.0,2,Draw
694,1.0,1,Draw
695,2.0,2,Draw
696,1.0,1,Draw
697,3.0,1,AI
698,1.0,3,Player
699,2.0,3,AI
700,,2,AI
701,2.0,3,AI
702,1.0,3,Player
703,1.0,3,Player
704,1.0,2,AI
705,3.0,1,AI
706,2.0,1,Player
707,1.0,1,Draw
708,2.0,3,AI
709,3.0,3,Draw
710,2.0,2,Draw
711,2.0,3,AI
712,1.0,3,Player
713,3.0,3,Draw
714,2.0,1,Player
715,3.0,3,Draw
716,2.0,1,Player
717,1.0,1,Draw
718,3.0,1,AI
719,2.0,1,Player
720,3.0,2,Player
721,2.0,3,AI
722,2.0,1,Player
723,2.0,3,AI
724,2.0,2,Draw
725,3.0,1,AI
726,2.0,1,Player
727,1.0,1,Draw
728,3.0,3,Draw
729,2.0,3,AI
730,1.0,3,Player
731,3.0,1,AI
732,2.0,3,AI
733,3.0,2,Player
734,2.0,3,AI
735,2.0,2,Draw
736,2.0,1,Player
737,2.0,3,AI
738,2.0,3,AI
739,2.0,1,Player
740,3.0,2,Player
741,2.0,3,AI
742,3.0,3,Draw
743,2.0,2,Draw
744,3.0,3,Draw
745,1.0,2,AI
746,1.0,1,Draw
747,1.0,1,Draw
748,1.0,3,Player
749,1.0,1,Draw
750,3.0,1,AI
751,1.0,1,Draw
752,1.0,3,Player
753,3.0,3,Draw
754,1.0,3,Player
755,2.0,2,Draw
756,3.0,1,AI
757,2.0,2,Draw
758,3.0,1,AI
759,3.0,3,Draw
760,2.0,1,Player
761,3.0,3,Draw
