round,player_move,ai_move,winner
1,1.0,2,AI
2,2.0,3,AI
3,1.0,3,Player
4,1.0,3,Player
5,1.0,3,Player
6,2.0,3,AI
7,2.0,3,AI
8,1.0,2,AI
9,2.0,2,Draw
10,2.0,1,Player
11,3.0,3,Draw
12,2.0,3,AI
13,1.0,3,Player
14,3.0,2,Player
15,3.0,1,AI
16,2.0,2,Draw
17,1.0,3,Player
18,2.0,2,Draw
19,3.0,2,Player
20,1.0,1,Draw
21,1.0,3,Player
22,1.0,2,AI
23,1.0,2,AI
24,2.0,2,Draw
25,3.0,2,Player
26,1.0,2,AI
27,1.0,3,Player
28,1.0,3,Player
29,1.0,2,AI
30,3.0,1,AI
31,1.0,2,AI
32,2.0,1,Player
33,1.0,3,Player
34,3.0,3,Draw
35,1.0,3,Player
36,2.0,3,AI
37,3.0,2,Player
38,2.0,3,AI
39,2.0,2,Draw
40,1.0,1,Draw
41,2.0,2,Draw
42,2.0,2,Draw
43,3.0,2,Player
44,3.0,3,Draw
45,1.0,3,Player
46,1.0,2,AI
47,2.0,3,AI
48,2.0,2,Draw
49,1.0,3,Player
50,1.0,2,AI
51,1.0,2,AI
52,1.0,3,Player
53,1.0,1,Draw
54,2.0,3,AI
55,1.0,2,AI
56,1.0,1,Draw
57,2.0,2,Draw
58,1.0,1,Draw
59,1.0,1,Draw
60,2.0,2,Draw
61,1.0,1,Draw
62,1.0,3,Player
63,2.0,3,AI
64,2.0,2,Draw
65,1.0,3,Player
66,3.0,1,AI
67,1.0,1,Draw
68,2.0,3,AI
69,2.0,2,Draw
70,1.0,1,Draw
71,1.0,1,Draw
72,,1,Draw
73,2.0,1,Player
74,3.0,3,Draw
75,2.0,1,Player
76,3.0,2,Player
77,2.0,3,AI
78,1.0,2,AI
79,1.0,2,AI
80,3.0,1,AI
81,2.0,2,Draw
82,2.0,3,AI
83,2.0,3,AI
84,1.0,2,AI
85,3.0,2,Player
86,3.0,3,Draw
87,2.0,3,AI
88,2.0,2,Draw
89,2.0,2,Draw
90,3.0,1,AI
91,1.0,1,Draw
92,2.0,1,Player
93,2.0,2,Draw
94,1.0,1,Draw
95,2.0,1,Player
96,1.0,1,Draw
97,2.0,3,AI
98,2.0,2,Draw
99,3.0,2,Player
100,1.0,3,Player
101,1.0,3,Player
102,1.0,2,AI
103,3.0,2,Player
104,3.0,3,Draw
105,1.0,3,Player
106,1.0,3,Player
107,1.0,3,Player
108,1.0,1,Draw
109,1.0,1,Draw
110,1.0,2,AI
111,1.0,3,Player
112,1.0,3,Player
113,1.0,1,Draw
114,2.0,3,AI
115,2.0,2,Draw
116,2.0,1,Player
117,1.0,3,Player
118,2.0,3,AI
119,3.0,2,Player
120,1.0,1,Draw
121,1.0,1,Draw
122,2.0,3,AI
123,2.0,2,Draw
124,1.0,2,AI
125,3.0,1,AI
126,3.0,2,Player
127,2.0,1,Player
128,2.0,2,Draw
129,1.0,2,AI
130,1.0,1,Draw
131,1.0,1,Draw
132,3.0,1,AI
133,2.0,2,Draw
134,3.0,1,AI
135,2.0,3,AI
136,2.0,1,Player
137,1.0,2,AI
138,3.0,2,Player
139,1.0,3,Player
140,2.0,2,Draw
141,1.0,3,Player
142,1.0,3,Player
143,2.0,1,Player
144,2.0,3,AI
145,2.0,3,AI
146,2.0,2,Draw
147,1.0,3,Player
148,1.0,1,Draw
149,3.0,2,Player
150,3.0,2,Player
151,2.0,2,Draw
152,2.0,3,AI
153,1.0,3,Player
154,2.0,3,AI
155,1.0,3,Player
156,2.0,1,Player
157,3.0,2,Player
158,3.0,3,Draw
159,1.0,2,AI
160,1.0,1,Draw
161,3.0,3,Draw
162,2.0,3,AI
163,2.0,2,Draw
164,1.0,2,AI
165,1.0,2,AI
166,3.0,2,Player
167,1.0,2,AI
168,1.0,2,AI
169,1.0,3,Player
170,2.0,2,Draw
171,1.0,2,AI
172,1.0,2,AI
173,3.0,2,Player
174,1.0,1,Draw
175,1.0,2,AI
176,1.0,3,Player
177,2.0,1,Player
178,3.0,3,Draw
179,3.0,2,Player
180,1.0,2,AI
181,2.0,2,Draw
182,1.0,2,AI
183,1.0,3,Player
184,1.0,2,AI
185,1.0,2,AI
186,3.0,3,Draw
187,1.0,3,Player
188,1.0,2,AI
189,1.0,2,AI
190,2.0,1,Player
191,2.0,1,Player
192,3.0,1,AI
193,3.0,1,AI
194,2.0,3,AI
195,1.0,1,Draw
196,3.0,3,Draw
197,2.0,1,Player
198,1.0,2,AI
199,1.0,1,Draw
200,2.0,1,Player
201,1.0,2,AI
202,1.0,3,Player
